IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
152.70.232.173,28756,TRUE,ICN,Asia Pacific,Seoul,77 ms,24995 kB/s
193.122.122.16,40377,TRUE,NRT,Asia Pacific,Tokyo,82 ms,24184 kB/s
129.154.212.181,44699,TRUE,NRT,Asia Pacific,Tokyo,70 ms,23178 kB/s
132.145.83.155,33799,TRUE,ICN,Asia Pacific,Seoul,70 ms,20929 kB/s
146.56.190.2,2023,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,20348 kB/s
132.226.228.151,30843,TRUE,ICN,Asia Pacific,Seoul,75 ms,19931 kB/s
132.226.171.158,9527,TRUE,NRT,Asia Pacific,Tokyo,74 ms,15468 kB/s
152.70.254.227,33688,TRUE,NRT,Asia Pacific,Tokyo,75 ms,14613 kB/s
118.163.128.81,17333,TRUE,KHH,Asia Pacific,Kaohsiung City,88 ms,13286 kB/s
146.56.177.67,61153,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,13248 kB/s
18.183.137.85,2083,TRUE,NRT,Asia Pacific,Tokyo,70 ms,12873 kB/s
77.74.228.97,2087,TRUE,SJC,North America,San Jose,200 ms,12309 kB/s
23.227.60.223,443,TRUE,SJC,North America,San Jose,182 ms,12162 kB/s
62.106.70.181,10006,TRUE,NRT,Asia Pacific,Tokyo,88 ms,12150 kB/s
217.163.76.89,2053,TRUE,SJC,North America,San Jose,176 ms,12042 kB/s
27.50.48.250,2096,TRUE,SJC,North America,San Jose,177 ms,11923 kB/s
188.42.145.66,2083,TRUE,SJC,North America,San Jose,177 ms,11756 kB/s
131.186.20.178,24960,TRUE,NRT,Asia Pacific,Tokyo,105 ms,10616 kB/s
168.100.6.132,2087,TRUE,SJC,North America,San Jose,180 ms,9917 kB/s
8.222.155.242,2053,TRUE,SIN,Asia Pacific,Singapore,218 ms,9654 kB/s
8.222.187.107,2087,TRUE,SIN,Asia Pacific,Singapore,244 ms,9265 kB/s
8.222.137.166,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,9179 kB/s
8.222.227.191,2083,TRUE,SIN,Asia Pacific,Singapore,232 ms,9171 kB/s
8.222.150.197,2083,TRUE,SIN,Asia Pacific,Singapore,232 ms,9052 kB/s
8.222.215.228,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,9037 kB/s
8.222.168.24,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,9004 kB/s
47.236.65.177,2096,TRUE,SIN,Asia Pacific,Singapore,225 ms,8958 kB/s
8.222.137.178,2083,TRUE,SIN,Asia Pacific,Singapore,233 ms,8903 kB/s
8.222.154.50,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,8899 kB/s
8.222.182.10,2096,TRUE,SIN,Asia Pacific,Singapore,214 ms,8866 kB/s
8.222.215.228,2096,TRUE,SIN,Asia Pacific,Singapore,213 ms,8843 kB/s
8.222.150.197,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,8839 kB/s
8.222.129.245,2083,TRUE,SIN,Asia Pacific,Singapore,234 ms,8822 kB/s
47.236.10.100,2053,TRUE,SIN,Asia Pacific,Singapore,213 ms,8819 kB/s
8.222.160.61,2087,TRUE,SIN,Asia Pacific,Singapore,239 ms,8818 kB/s
8.222.150.197,2053,TRUE,SIN,Asia Pacific,Singapore,236 ms,8815 kB/s
47.236.65.177,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,8793 kB/s
8.222.224.162,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,8743 kB/s
47.236.161.155,2053,TRUE,SIN,Asia Pacific,Singapore,214 ms,8732 kB/s
8.222.224.162,2096,TRUE,SIN,Asia Pacific,Singapore,243 ms,8722 kB/s
8.222.130.137,2083,TRUE,SIN,Asia Pacific,Singapore,234 ms,8711 kB/s
8.222.160.61,2096,TRUE,SIN,Asia Pacific,Singapore,214 ms,8661 kB/s
146.56.141.168,47590,TRUE,ICN,Asia Pacific,Seoul,83 ms,8654 kB/s
8.222.211.124,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,8546 kB/s
47.236.83.239,2083,TRUE,SIN,Asia Pacific,Singapore,234 ms,8521 kB/s
47.236.87.246,2083,TRUE,SIN,Asia Pacific,Singapore,217 ms,8445 kB/s
8.222.145.110,2053,TRUE,SIN,Asia Pacific,Singapore,245 ms,8436 kB/s
47.236.148.174,2083,TRUE,SIN,Asia Pacific,Singapore,213 ms,8350 kB/s
8.222.227.191,2096,TRUE,SIN,Asia Pacific,Singapore,232 ms,8314 kB/s
47.236.82.218,2053,TRUE,SIN,Asia Pacific,Singapore,242 ms,8313 kB/s
8.222.211.124,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,8294 kB/s
8.222.238.141,2053,TRUE,SIN,Asia Pacific,Singapore,232 ms,8151 kB/s
8.222.248.188,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,7937 kB/s
47.236.79.77,2083,TRUE,SIN,Asia Pacific,Singapore,240 ms,7921 kB/s
47.236.144.208,2087,TRUE,SIN,Asia Pacific,Singapore,241 ms,7888 kB/s
47.236.123.133,2096,TRUE,SIN,Asia Pacific,Singapore,241 ms,7867 kB/s
47.236.83.239,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,7847 kB/s
8.222.168.24,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,7830 kB/s
47.236.114.167,2096,TRUE,SIN,Asia Pacific,Singapore,216 ms,7796 kB/s
47.236.103.153,2053,TRUE,SIN,Asia Pacific,Singapore,213 ms,7763 kB/s
8.222.134.170,2053,TRUE,SIN,Asia Pacific,Singapore,233 ms,7712 kB/s
