IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.232.173,28756,28756,TRUE,ICN,Asia Pacific,Seoul,77,24995
193.122.122.16,40377,40377,TRUE,NRT,Asia Pacific,Tokyo,82,24184
129.154.212.181,44699,44699,TRUE,NRT,Asia Pacific,Tokyo,70,23178
132.145.83.155,33799,33799,TRUE,ICN,Asia Pacific,Seoul,70,20929
146.56.190.2,2023,2023,TRUE,HKG,Asia Pacific,Hong Kong,71,20348
132.226.228.151,30843,30843,TRUE,ICN,Asia Pacific,Seoul,75,19931
132.226.171.158,9527,9527,TRUE,NRT,Asia Pacific,Tokyo,74,15468
152.70.254.227,33688,33688,TRUE,NRT,Asia Pacific,Tokyo,75,14613
118.163.128.81,17333,17333,TRUE,KHH,Asia Pacific,Kaohsiung City,88,13286
146.56.177.67,61153,61153,TRUE,HKG,Asia Pacific,Hong Kong,75,13248
18.183.137.85,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,70,12873
77.74.228.97,2087,2087,TRUE,SJC,North America,San Jose,200,12309
23.227.60.223,443,443,TRUE,SJC,North America,San Jose,182,12162
62.106.70.181,10006,10006,TRUE,NRT,Asia Pacific,Tokyo,88,12150
217.163.76.89,2053,2053,TRUE,SJC,North America,San Jose,176,12042
27.50.48.250,2096,2096,TRUE,SJC,North America,San Jose,177,11923
188.42.145.66,2083,2083,TRUE,SJC,North America,San Jose,177,11756
131.186.20.178,24960,24960,TRUE,NRT,Asia Pacific,Tokyo,105,10616
168.100.6.132,2087,2087,TRUE,SJC,North America,San Jose,180,9917
8.222.155.242,2053,2053,TRUE,SIN,Asia Pacific,Singapore,218,9654
8.222.187.107,2087,2087,TRUE,SIN,Asia Pacific,Singapore,244,9265
8.222.137.166,2083,2083,TRUE,SIN,Asia Pacific,Singapore,237,9179
8.222.227.191,2083,2083,TRUE,SIN,Asia Pacific,Singapore,232,9171
8.222.150.197,2083,2083,TRUE,SIN,Asia Pacific,Singapore,232,9052
8.222.215.228,2083,2083,TRUE,SIN,Asia Pacific,Singapore,237,9037
8.222.168.24,2083,2083,TRUE,SIN,Asia Pacific,Singapore,228,9004
47.236.65.177,2096,2096,TRUE,SIN,Asia Pacific,Singapore,225,8958
8.222.137.178,2083,2083,TRUE,SIN,Asia Pacific,Singapore,233,8903
8.222.154.50,2053,2053,TRUE,SIN,Asia Pacific,Singapore,223,8899
8.222.182.10,2096,2096,TRUE,SIN,Asia Pacific,Singapore,214,8866
8.222.215.228,2096,2096,TRUE,SIN,Asia Pacific,Singapore,213,8843
8.222.150.197,2096,2096,TRUE,SIN,Asia Pacific,Singapore,239,8839
